Country,Region,Year,Water Source Type,Contaminant Level (ppm),pH Level,Turbidity (NTU),Dissolved Oxygen (mg/L),Nitrate Level (mg/L),Lead Concentration (µg/L),Bacteria Count (CFU/mL),Water Treatment Method,Access to Clean Water (% of Population),"Diarrheal Cases per 100,000 people","Cholera Cases per 100,000 people","Typhoid Cases per 100,000 people","Infant Mortality Rate (per 1,000 live births)",GDP per Capita (USD),Healthcare Access Index (0-100),Urbanization Rate (%),Sanitation Coverage (% of Population),Rainfall (mm per year),Temperature (°C),Population Density (people per km²)
China,West,2013,Lake,3.72,6.37,2.79,8.44,22.87,19.26,1008,None,86.69,350,28,57,45.75,99521,44.11,44.44,64.2,340,7.44,333
Bangladesh,Central,2023,Lake,1.08,8.1,0.18,4.36,31.82,2.79,2364,Boiling,38.4,310,16,96,89.98,3420,63.41,87.93,95.44,1536,1.2,365
China,West,2001,Spring,2.52,6.37,2.95,7.97,11.53,0.88,3686,Filtration,75.76,192,0,24,10.98,33922,21.65,33.88,79.88,1888,28.69,976
Mexico,South,2013,River,2.72,8.23,2.19,3.53,20.15,0.18,4347,Chlorination,96.68,34,19,55,19.18,91743,33.32,30.53,56.62,397,20.2,136
Mexico,West,2021,Lake,7.21,7.12,0.12,5.23,43.56,15.5,2199,None,63.6,271,32,82,85.3,6828,27.92,81.57,22.74,1644,14.47,403
Pakistan,North,2010,Pond,0.49,7.37,4.62,3.81,1.46,1.13,1359,None,81.25,384,1,8,82.29,59619,80.08,66.59,72.59,2081,11.38,591
Nigeria,West,2015,Well,6.51,8.24,0.05,9.65,26.64,10.77,909,Boiling,69.67,177,16,99,31.93,28298,94.19,37.64,40.34,2379,32.92,744
Indonesia,East,2007,Pond,2.21,6.75,2.89,5.37,43.64,7.35,3439,Chlorination,44.34,269,22,35,60.49,37079,41.43,28.54,43.09,2612,31.82,269
Ethiopia,South,2006,Tap,0.82,6.45,4.81,7.99,6.1,2.94,2913,Filtration,43.66,317,21,56,39.5,64746,7.71,24.24,21.58,737,33.04,286
Ethiopia,West,2010,Spring,3.01,7.11,1.19,7.0,49.13,14.81,4695,None,60.37,390,0,78,3.01,98672,9.36,35.08,64.61,1492,8.76,819
Indonesia,North,2002,Well,2.24,6.61,1.27,3.75,0.62,1.1,1006,Boiling,63.81,150,11,4,4.56,80473,39.96,20.04,43.14,2319,34.08,605
USA,South,2016,Spring,5.52,7.32,0.0,6.93,44.31,6.37,3052,Chlorination,65.22,98,12,80,7.32,61054,39.5,21.63,98.59,502,39.42,474
Nigeria,North,2013,River,3.57,6.69,0.33,7.63,17.68,11.24,1143,Boiling,96.85,446,13,93,60.22,49015,14.62,72.13,79.92,2628,23.97,381
China,Central,2005,Lake,9.66,8.16,0.22,9.17,6.63,8.05,4398,Chlorination,37.02,28,9,6,29.36,6611,80.71,15.1,48.6,2226,1.89,143
USA,East,2007,Well,9.64,7.52,4.11,3.49,7.87,5.18,3220,Boiling,56.64,149,11,5,16.11,11419,50.01,45.14,43.56,1393,28.09,264
Brazil,Central,2021,Tap,4.44,6.0,4.18,5.07,35.06,18.52,1224,Chlorination,66.02,207,21,78,94.23,83501,10.91,42.4,77.2,2534,21.52,532
Indonesia,East,2004,River,7.95,8.01,3.63,7.85,43.54,18.62,3878,None,97.42,348,17,51,13.89,56426,9.87,86.82,40.34,367,28.48,731
China,West,2007,River,0.13,6.83,1.76,3.24,32.05,8.32,4495,Chlorination,65.3,261,38,73,68.05,78411,44.6,47.24,55.84,414,7.53,896
Ethiopia,South,2001,Spring,5.48,6.8,4.11,4.42,46.44,7.87,67,Filtration,84.27,209,18,69,89.63,28117,11.68,22.87,32.83,1339,24.23,82
India,West,2014,River,7.43,6.96,2.7,4.53,42.12,6.15,4249,None,82.45,412,29,54,18.06,71399,56.12,17.07,40.33,343,21.57,661
Pakistan,East,2011,Well,2.17,7.58,1.52,7.69,0.45,17.12,1014,Filtration,69.65,88,14,76,23.04,63030,38.5,68.6,27.87,2577,24.1,296
Ethiopia,East,2016,Spring,0.61,7.11,2.19,5.0,33.47,11.36,181,None,39.15,236,38,13,58.23,76569,91.97,21.82,54.17,2483,29.11,680
Nigeria,East,2000,River,1.56,7.57,0.33,7.2,15.23,1.79,4620,Chlorination,45.31,247,13,0,51.83,3701,41.89,85.04,94.14,2087,21.77,180
Mexico,North,2014,Tap,4.42,6.37,4.72,9.76,22.73,17.07,4115,None,46.81,257,8,96,53.06,7498,61.44,54.74,28.07,668,12.87,707
India,South,2013,Pond,5.06,8.43,3.1,8.55,4.7,10.7,4946,Boiling,32.71,491,4,82,56.36,27163,81.14,42.14,54.99,2943,12.36,571
Pakistan,West,2019,Well,3.81,7.82,3.66,5.33,14.1,8.31,2945,Chlorination,56.55,191,32,72,95.09,38599,30.29,64.75,43.87,2212,27.8,256
Pakistan,West,2021,Tap,4.4,6.63,3.38,6.31,31.63,6.76,2057,Boiling,72.74,95,47,36,7.28,17174,51.19,25.91,49.04,1527,26.55,363
Brazil,Central,2015,Tap,4.7,7.81,3.34,4.4,10.92,1.99,2747,Boiling,40.1,35,4,48,76.52,7460,12.09,40.58,81.72,1716,16.88,729
Brazil,East,2008,Spring,7.69,7.44,0.09,3.11,32.38,19.13,1880,Boiling,42.25,95,23,11,24.79,39006,43.28,12.67,54.8,1943,14.14,50
Bangladesh,East,2000,Lake,1.05,6.27,2.63,5.03,46.15,14.82,3602,Boiling,79.49,488,7,4,38.62,69459,37.58,80.21,72.03,2817,24.81,121
Ethiopia,East,2016,Spring,7.69,6.45,4.11,5.59,0.25,2.64,654,Filtration,41.85,403,18,69,10.75,77394,42.82,44.02,97.78,1167,12.49,725
Ethiopia,West,2012,Well,6.89,6.1,0.22,6.95,39.29,10.23,3686,Chlorination,39.47,438,11,10,45.67,3999,10.74,70.71,69.32,2134,38.53,890
Ethiopia,Central,2020,Well,7.42,8.02,4.78,9.61,32.07,11.11,2288,Boiling,98.45,36,7,52,80.81,25057,39.84,83.35,46.99,2396,23.86,470
Bangladesh,North,2020,Spring,7.34,7.38,2.12,9.63,2.33,3.36,2199,Filtration,31.03,233,7,54,11.68,46354,87.03,62.22,51.81,2823,23.68,941
USA,South,2004,Lake,4.71,6.79,1.45,3.49,39.51,8.54,2831,None,52.78,101,37,73,29.01,90224,93.71,40.06,75.67,2716,5.45,214
Pakistan,North,2009,Spring,2.11,6.32,2.66,7.3,11.23,12.91,3408,Boiling,32.45,480,19,78,38.56,22452,24.17,59.56,75.55,334,24.39,693
India,West,2005,Well,5.37,7.21,4.01,3.3,13.29,5.68,2235,Boiling,88.66,179,28,49,12.18,83263,30.05,38.83,49.45,1019,11.8,648
Nigeria,East,2023,Lake,9.58,7.31,2.37,7.54,4.68,6.63,2511,Filtration,70.85,324,40,52,76.71,83333,0.96,55.39,77.96,218,18.07,75
Pakistan,South,2018,Well,5.89,7.75,3.23,3.82,26.72,2.44,721,None,33.36,69,33,54,79.12,21323,11.56,44.57,64.05,1092,21.53,378
Brazil,West,2024,Lake,0.11,8.42,2.5,9.62,24.91,8.26,3248,None,73.08,405,17,91,83.92,88087,34.51,21.99,98.43,2845,19.12,792
China,West,2012,Lake,0.6,7.09,3.16,9.05,17.36,11.68,1200,Filtration,38.62,468,0,2,59.22,33201,68.51,72.41,92.65,2933,32.38,470
Mexico,West,2000,Spring,9.93,7.02,0.69,3.16,8.44,2.33,4976,Boiling,64.7,466,10,15,51.71,65936,29.22,49.71,85.91,2797,3.98,555
Bangladesh,South,2019,Spring,0.72,6.92,0.19,8.47,41.9,12.3,2462,Chlorination,76.86,106,46,44,27.73,90316,7.54,25.21,22.75,340,6.69,483
Indonesia,South,2024,Spring,0.46,8.07,0.68,7.45,43.82,7.96,4673,Filtration,40.4,270,43,80,66.21,20874,73.09,81.35,50.43,2209,6.28,719
China,Central,2014,Lake,3.53,6.39,1.43,6.47,27.03,13.56,309,Chlorination,64.79,353,34,35,45.57,65041,46.68,78.26,65.86,1523,32.67,990
Nigeria,Central,2013,Lake,9.69,6.86,1.27,7.22,12.21,6.3,1025,Boiling,62.02,46,31,18,97.14,42436,51.92,54.71,61.73,605,4.73,53
Ethiopia,North,2007,Well,3.19,7.81,3.08,7.75,4.81,11.37,4412,Boiling,94.1,454,41,3,96.88,61170,32.6,87.63,81.09,699,38.86,774
Brazil,South,2009,Tap,4.1,6.04,2.28,9.19,43.43,12.26,1532,None,99.7,464,15,58,90.71,27168,61.3,84.17,92.73,234,38.77,682
Brazil,South,2008,Spring,6.34,6.72,0.19,8.37,4.8,13.81,3643,Boiling,75.81,107,5,88,37.29,1700,89.08,81.76,82.97,1962,39.67,344
Brazil,South,2016,Pond,0.24,7.6,0.17,7.03,0.66,15.14,367,None,89.84,363,8,90,38.06,89809,55.38,20.66,37.62,855,39.19,364
Ethiopia,Central,2008,Well,8.98,6.46,0.45,8.77,23.47,2.73,4650,None,75.28,68,39,11,85.56,18532,58.75,33.57,58.85,1652,5.96,357
Indonesia,West,2002,Well,5.19,6.76,1.77,9.91,36.56,19.3,2652,Boiling,91.34,307,21,62,73.46,66157,37.36,42.82,51.49,855,26.3,371
Bangladesh,East,2010,River,4.67,7.22,0.03,5.1,22.88,16.87,1249,None,60.33,422,47,55,71.03,70406,8.26,76.55,81.3,2605,15.99,399
China,Central,2011,Spring,8.61,7.06,2.47,3.83,2.57,11.25,2983,Boiling,72.56,1,7,26,29.4,64888,42.85,79.7,91.61,223,29.27,494
Ethiopia,South,2009,Well,9.53,6.27,1.8,8.12,34.5,17.81,4575,None,89.16,218,31,67,83.67,4315,92.46,70.12,42.95,633,16.24,639
Nigeria,Central,2024,River,4.23,8.35,2.78,9.85,32.12,7.65,3028,None,94.27,44,25,23,58.78,37675,68.02,47.79,59.11,2462,15.33,817
Bangladesh,North,2016,Pond,1.72,6.11,3.6,3.82,34.08,0.69,3134,Boiling,31.73,407,17,80,45.79,48021,49.02,22.95,78.55,563,36.16,271
Nigeria,South,2016,Pond,8.16,7.87,1.25,6.02,10.56,14.54,4095,Chlorination,37.28,232,36,25,86.81,64748,62.09,12.82,24.0,2714,19.78,84
Bangladesh,North,2024,Spring,4.03,6.18,0.79,3.44,39.78,18.87,939,Filtration,95.18,188,11,81,40.63,18236,55.85,65.94,97.05,1024,29.59,535
Indonesia,South,2010,Lake,9.36,7.17,1.39,8.44,23.96,3.24,4109,Boiling,69.8,366,37,21,66.08,87642,91.24,89.53,84.0,2483,26.0,990
Mexico,Central,2021,River,9.5,6.44,0.01,9.64,26.82,12.88,4237,None,99.31,347,33,69,47.66,66723,22.38,37.64,63.42,1346,26.31,900
Nigeria,West,2003,Lake,1.15,6.35,0.6,6.49,27.29,16.27,4023,Filtration,85.48,121,3,18,60.09,27405,88.87,55.5,82.29,767,13.96,477
Ethiopia,East,2006,Pond,9.57,6.31,3.75,5.87,14.34,18.1,3691,Chlorination,87.27,494,15,33,5.97,14056,68.85,74.85,86.91,797,10.1,14
Bangladesh,North,2020,Pond,3.68,7.13,1.11,9.35,12.51,5.53,589,Boiling,57.03,64,23,10,47.19,13944,12.77,24.92,59.51,2712,35.42,310
Brazil,Central,2013,Tap,6.46,7.29,4.97,3.93,0.24,2.57,1782,None,48.03,436,13,87,56.54,50507,37.19,76.36,55.21,803,0.98,196
Pakistan,West,2006,Tap,0.35,6.33,0.84,9.24,19.83,4.96,4568,None,71.88,371,16,44,50.29,48274,43.63,60.03,87.02,1556,6.92,210
Brazil,Central,2023,Tap,8.89,8.45,3.94,5.74,24.26,11.55,1207,Boiling,91.53,148,30,36,85.05,14603,8.29,55.59,88.77,1471,5.31,487
USA,North,2007,Tap,6.42,6.64,3.53,6.92,37.14,18.37,4412,None,80.8,248,3,22,32.49,521,55.42,70.98,29.89,1560,37.98,499
Mexico,East,2000,Well,6.44,7.15,1.61,6.7,3.33,11.65,4540,Filtration,63.05,382,49,39,88.64,16473,25.94,29.28,92.63,2320,0.2,308
Mexico,Central,2023,Tap,9.02,6.54,1.65,7.31,46.2,18.39,2343,None,82.72,475,43,42,41.54,40585,45.81,59.18,42.14,943,0.32,495
Brazil,South,2021,Well,5.08,7.23,2.82,9.59,13.2,15.4,846,Filtration,78.33,66,33,3,70.06,18888,43.88,29.23,73.37,1929,9.07,958
China,West,2003,Well,4.11,7.89,4.26,9.66,18.34,11.97,2424,Filtration,93.91,349,37,81,10.5,7212,52.17,24.36,76.74,433,11.16,260
Indonesia,Central,2011,Spring,8.66,7.3,1.93,8.82,2.42,0.44,4680,Boiling,48.45,384,37,93,21.62,56465,84.62,59.87,42.38,1411,22.39,676
Nigeria,West,2023,Well,7.42,6.71,0.31,4.34,32.66,6.66,798,None,38.35,58,2,14,76.59,12644,78.08,31.54,44.33,1500,38.45,385
Ethiopia,South,2002,Well,9.49,6.62,1.87,5.33,35.45,1.15,470,Filtration,62.9,114,7,22,3.21,28962,87.3,67.15,76.5,2666,18.6,206
Mexico,East,2012,Tap,9.4,7.9,1.04,6.41,46.44,6.44,3909,None,55.28,115,11,11,96.92,34237,57.23,51.16,34.01,2200,11.55,78
Brazil,East,2019,Well,3.82,6.3,4.7,9.34,16.84,1.25,4827,Filtration,98.24,236,34,67,20.68,69814,61.58,65.6,88.67,622,32.68,569
Brazil,South,2005,Lake,4.47,6.92,3.49,6.65,12.87,3.36,2094,Chlorination,30.53,46,1,67,90.33,31184,43.05,81.33,37.83,2272,15.43,258
Indonesia,West,2010,Tap,2.56,6.38,0.25,9.84,36.3,8.21,2994,Boiling,95.34,108,28,51,52.56,9036,71.72,21.06,48.09,1651,5.67,241
Indonesia,Central,2022,River,6.61,6.64,1.46,9.89,35.34,10.3,3129,Boiling,96.86,273,22,40,57.33,92341,20.49,15.34,41.33,1410,31.78,472
India,South,2003,Tap,3.65,6.38,0.25,7.19,46.86,4.34,1313,Boiling,33.57,112,32,77,10.24,90497,47.52,41.99,39.62,1966,0.1,632
India,North,2019,Well,7.86,8.22,4.15,9.14,10.27,14.65,2878,Filtration,92.27,32,49,58,37.79,3831,71.42,67.34,98.31,2602,8.2,338
China,West,2015,Lake,1.22,7.83,4.53,9.99,35.26,11.81,3515,Chlorination,62.95,398,17,57,17.31,70331,77.79,80.89,40.27,2359,25.41,888
China,East,2006,Tap,1.16,7.4,0.56,8.95,3.34,13.84,1047,Filtration,83.63,279,39,58,53.54,55800,24.79,12.78,66.27,2102,4.1,802
USA,South,2021,Lake,2.04,6.56,2.2,7.6,24.02,14.66,1087,Boiling,35.55,291,21,71,55.97,88863,18.15,73.44,79.63,840,10.23,145
China,East,2010,River,0.84,7.28,4.66,8.92,5.97,14.54,3681,Filtration,96.86,315,13,22,71.55,81998,28.85,16.03,23.36,1641,15.73,599
Bangladesh,West,2023,Pond,6.2,7.3,0.73,3.58,32.66,18.72,282,Boiling,72.53,161,28,0,88.07,85727,92.02,56.45,90.53,776,15.86,752
Indonesia,East,2000,River,1.47,7.48,1.46,7.44,30.07,4.74,3648,None,92.91,89,44,55,47.88,55518,12.91,37.53,32.23,225,38.91,776
Ethiopia,South,2006,Pond,1.6,6.15,1.52,4.52,2.44,5.4,1398,Filtration,77.11,50,14,74,24.87,81109,95.31,11.41,67.05,729,27.02,681
Bangladesh,West,2011,Spring,0.14,8.43,0.15,3.81,15.98,1.88,2733,None,67.58,423,14,90,34.69,50191,99.48,17.77,71.29,1131,1.48,488
Nigeria,North,2006,Pond,7.82,7.16,0.18,9.25,19.75,11.85,4067,Filtration,42.07,405,44,3,85.01,54923,78.34,38.3,70.37,1989,8.85,70
Brazil,South,2022,Spring,8.12,8.32,4.76,7.48,12.4,7.9,2357,Boiling,42.46,143,3,28,16.29,48499,76.04,86.3,78.68,1139,24.66,96
China,Central,2006,Tap,1.62,6.02,2.86,4.7,1.93,9.92,2935,None,63.08,103,35,16,63.47,10985,95.33,22.39,94.5,1775,28.54,522
Brazil,South,2009,Spring,7.4,6.62,1.53,5.71,15.94,3.4,3818,Filtration,90.93,169,4,48,3.28,13765,29.05,31.76,94.15,2837,15.22,632
Mexico,West,2015,Lake,4.34,6.26,1.89,9.81,39.63,12.98,3238,Boiling,38.07,15,2,82,26.08,67524,12.9,89.53,66.25,2065,34.26,168
USA,South,2007,Spring,2.4,7.92,3.57,9.04,18.01,12.38,1772,Filtration,99.89,132,11,50,59.96,33553,82.31,48.45,49.59,1510,37.74,976
Mexico,North,2008,Lake,6.21,6.8,1.83,3.11,16.17,5.3,4077,None,91.31,498,19,48,46.73,6233,17.09,30.98,45.72,1665,24.56,408
USA,North,2008,Pond,1.78,8.1,1.14,9.86,47.09,9.31,4102,Filtration,57.48,389,43,23,50.37,56134,4.54,59.28,90.93,2411,22.5,755
India,Central,2001,Pond,7.57,8.08,0.51,5.58,2.08,17.89,787,Filtration,47.72,169,19,43,66.74,50889,19.65,44.88,88.25,534,30.03,591
Brazil,East,2012,Pond,0.48,7.67,3.64,7.87,38.36,15.47,3224,None,94.54,471,38,40,24.99,82532,43.79,78.66,43.67,2661,31.28,409
USA,West,2012,Spring,9.59,7.66,0.9,7.99,24.15,4.54,42,Boiling,38.62,29,38,56,29.52,7426,49.51,10.64,32.19,1783,8.62,471
Pakistan,West,2022,Pond,0.72,7.75,0.35,9.38,47.22,17.58,4296,Filtration,54.31,484,0,55,69.08,44266,6.25,89.74,88.89,789,19.34,373
Bangladesh,East,2022,Spring,5.79,7.68,2.13,9.2,19.67,1.35,2942,Filtration,35.87,159,43,31,54.75,92111,44.34,15.3,68.67,2870,17.9,90
USA,North,2003,Spring,9.02,6.97,0.2,4.97,35.4,8.28,4643,Chlorination,96.74,436,2,30,3.43,2063,60.43,52.97,45.05,1566,37.66,723
USA,North,2024,Well,0.12,7.71,4.82,7.5,3.5,1.6,4321,Chlorination,73.23,146,46,15,67.69,81863,93.18,65.79,68.85,2530,4.47,102
Bangladesh,South,2023,Well,4.99,8.24,3.14,5.76,46.44,18.48,3905,Boiling,53.53,306,8,31,62.77,79927,22.73,53.99,25.3,2611,37.74,883
Brazil,Central,2011,Spring,3.5,6.83,0.76,6.68,17.23,0.81,4728,None,49.28,236,19,41,9.7,25432,21.1,34.06,35.21,2501,22.9,81
Brazil,Central,2016,Lake,5.8,8.36,0.86,6.88,26.2,3.02,3410,Boiling,61.09,411,8,33,75.26,86974,38.94,78.43,63.66,1670,11.52,66
Bangladesh,Central,2001,Tap,2.25,6.03,2.85,5.77,6.92,18.3,1358,Boiling,36.4,174,30,98,53.17,74698,98.37,44.43,63.13,1121,34.77,532
Mexico,South,2012,River,0.65,6.87,1.78,6.25,47.28,11.64,1204,Boiling,92.25,71,45,36,22.07,85334,33.62,34.06,39.73,370,2.02,516
Pakistan,Central,2017,Well,6.26,6.33,3.87,4.46,33.65,15.9,3604,Filtration,65.77,383,27,15,56.82,16086,4.39,71.47,98.57,402,12.76,667
Ethiopia,East,2014,Spring,4.17,6.32,2.73,7.25,2.7,0.33,2993,Filtration,80.76,362,34,84,60.35,14526,26.56,21.67,52.99,2733,30.1,438
Nigeria,South,2007,River,6.22,8.04,2.17,8.31,7.76,8.38,2241,Boiling,46.36,126,39,12,92.17,35888,55.83,26.4,76.68,1864,33.11,669
Pakistan,East,2014,Well,2.11,8.3,4.81,6.01,19.99,19.69,537,Boiling,65.26,384,37,81,74.73,11954,41.25,30.22,40.68,479,6.7,729
Brazil,South,2000,Tap,3.39,7.94,1.95,9.84,10.84,11.6,4011,Chlorination,44.78,195,43,65,31.59,75369,77.42,44.79,53.96,603,37.67,612
Ethiopia,Central,2019,Lake,5.62,8.44,2.0,3.4,15.23,16.99,3868,None,87.13,184,1,32,13.58,37671,60.73,11.63,86.5,1231,2.15,608
India,East,2009,Spring,5.93,6.54,3.33,7.12,49.87,19.27,4576,Boiling,84.27,149,2,81,85.61,21543,55.95,89.34,87.89,997,17.34,407
China,East,2011,Tap,3.72,6.35,4.05,7.09,32.93,13.7,4525,Chlorination,40.37,213,13,91,84.91,17922,32.3,58.01,30.82,1605,3.9,469
USA,East,2004,Well,2.8,7.3,3.13,3.25,46.11,6.55,3583,Boiling,35.22,93,16,34,19.18,23451,55.18,87.66,48.37,2265,3.91,630
Bangladesh,South,2008,Spring,2.74,8.07,3.49,4.57,21.79,6.17,1350,None,87.69,57,34,36,8.09,28943,61.56,74.6,36.25,2068,36.56,292
Bangladesh,West,2022,River,1.75,6.1,1.86,9.34,35.51,1.43,944,Boiling,37.68,218,3,75,71.76,12242,17.92,20.74,91.22,1345,36.16,214
USA,Central,2007,Pond,3.25,8.49,2.4,6.81,22.98,8.56,3856,None,68.39,218,46,39,72.81,30291,73.59,26.73,80.31,1349,24.61,985
China,East,2015,Lake,1.99,7.51,0.99,6.05,16.41,18.31,1823,Filtration,67.41,12,29,7,19.36,82474,39.29,12.76,65.06,2102,38.65,106
Nigeria,West,2013,Well,6.34,8.45,3.4,5.91,25.96,9.56,2625,None,44.21,422,38,53,67.48,57765,74.23,76.7,72.01,1963,19.64,481
China,Central,2024,Lake,5.69,6.91,1.11,9.22,21.37,18.22,3898,Boiling,71.39,282,13,88,29.33,26377,17.77,57.48,93.13,794,31.31,469
Ethiopia,Central,2012,Spring,3.83,7.15,0.01,5.57,49.03,16.34,3487,Chlorination,65.19,422,47,6,27.54,40680,65.65,27.21,44.26,1620,3.89,274
China,East,2022,Pond,3.26,7.88,4.67,9.01,24.81,19.68,4206,Filtration,65.64,485,26,1,33.8,12603,2.69,87.61,21.09,688,15.82,278
Ethiopia,East,2020,Tap,2.38,7.98,1.53,5.16,40.56,18.95,4307,Chlorination,55.18,376,12,96,53.0,69503,15.9,68.94,22.11,2679,20.6,950
China,South,2012,Lake,5.35,6.58,0.98,6.72,33.34,14.13,850,Boiling,88.69,455,19,55,80.84,1994,89.11,66.44,23.73,2435,31.13,273
Nigeria,West,2004,River,9.19,8.32,1.34,4.01,23.98,17.42,2925,Filtration,35.91,139,48,96,50.87,37401,46.15,31.36,30.28,1377,13.38,635
Nigeria,West,2015,Well,6.86,8.17,1.65,8.78,23.71,14.96,995,Chlorination,60.7,407,48,56,31.21,69739,50.79,35.07,65.67,323,39.21,833
Brazil,East,2010,River,7.44,6.05,2.37,8.15,17.09,14.07,4761,Boiling,48.19,273,23,48,88.63,87285,90.76,63.44,98.49,2128,29.39,475
USA,Central,2021,Lake,8.34,6.32,0.35,6.71,5.35,14.31,349,Chlorination,89.39,118,9,86,7.4,48767,48.49,57.48,53.59,806,21.32,740
Nigeria,East,2004,Pond,3.52,7.24,0.26,3.18,38.07,14.42,1537,None,45.76,270,6,68,80.11,49834,65.46,61.78,76.99,321,13.23,754
Ethiopia,Central,2012,Tap,0.63,7.15,1.46,6.37,45.9,7.59,2977,None,83.69,443,16,77,78.87,34504,22.2,80.31,83.37,1294,25.68,618
Nigeria,Central,2010,Tap,6.23,7.77,1.48,4.58,10.9,8.47,2728,Boiling,72.81,399,21,7,26.85,94833,8.16,22.83,84.11,1104,26.92,16
Brazil,East,2024,River,1.89,6.22,0.59,5.89,46.28,5.88,4346,Chlorination,91.24,96,43,83,21.43,12927,35.34,19.31,55.46,2351,27.17,598
Bangladesh,North,2018,Spring,5.69,7.61,2.02,8.99,11.62,2.97,2366,Boiling,71.57,329,10,62,87.72,42080,79.87,55.17,64.0,2913,23.45,137
Ethiopia,West,2002,Spring,7.4,7.54,1.42,8.39,26.5,9.17,2236,Chlorination,68.95,46,41,81,56.77,49106,44.68,50.01,46.3,872,16.02,408
Brazil,Central,2014,Pond,7.84,6.58,0.13,4.69,17.18,18.0,3875,Filtration,86.08,151,22,86,6.51,59388,16.82,42.23,75.03,1384,32.67,193
Mexico,Central,2006,Tap,3.02,7.36,4.43,9.89,5.73,13.03,3094,Boiling,69.37,172,21,92,89.3,96194,54.51,82.38,50.63,1088,10.33,625
Mexico,North,2006,River,5.12,6.56,4.43,9.32,2.64,1.12,3601,Boiling,89.12,274,39,70,36.2,66270,26.38,54.67,44.89,1915,25.02,93
India,South,2005,River,6.21,6.37,1.05,6.7,18.27,16.22,4174,Chlorination,33.45,346,46,87,35.53,572,94.67,55.38,70.18,1903,18.87,449
China,North,2002,River,8.19,7.43,0.81,6.71,2.37,18.71,4641,Boiling,64.66,236,17,45,65.04,95179,57.74,39.31,47.3,1277,35.71,814
USA,North,2012,Lake,7.61,8.44,2.74,9.31,5.21,16.59,923,Filtration,86.89,424,44,88,66.81,22651,98.3,37.53,52.64,2699,23.62,585
Indonesia,Central,2006,Pond,9.88,6.59,3.15,7.45,7.11,14.55,618,Chlorination,89.39,30,25,77,36.62,67825,4.31,89.01,76.87,2998,34.23,242
Pakistan,West,2004,Spring,0.08,6.89,4.79,6.76,0.1,3.0,4400,Chlorination,88.38,212,47,66,16.04,58471,1.16,59.85,88.27,2089,38.13,538
Brazil,North,2022,Spring,4.37,6.64,1.89,8.24,7.66,6.98,3262,Chlorination,72.31,271,29,45,56.12,37291,47.71,76.01,54.78,760,5.08,102
Bangladesh,South,2017,Lake,2.56,6.67,3.09,4.65,28.86,11.31,3303,Filtration,99.58,406,12,77,63.27,60510,86.2,45.8,61.78,2095,22.21,798
Pakistan,East,2021,Well,1.2,7.01,4.39,9.15,40.98,1.54,2601,Filtration,42.7,77,3,66,86.3,78040,52.44,25.35,79.71,2893,35.36,599
Bangladesh,North,2007,Lake,9.12,7.75,2.25,6.72,9.67,2.13,1047,Boiling,42.21,278,42,41,49.48,11031,87.62,35.99,38.0,1356,34.88,486
Pakistan,North,2016,Pond,9.98,6.1,0.61,7.22,4.04,18.69,1698,Chlorination,32.3,40,26,63,65.28,31848,13.06,37.69,53.2,1178,7.84,370
Brazil,South,2019,River,1.81,8.39,1.89,3.63,36.48,14.05,2230,Filtration,99.25,145,39,72,7.33,77587,69.93,55.19,84.92,345,19.25,120
Indonesia,West,2000,Lake,0.38,6.12,0.68,5.17,0.41,5.5,1868,None,54.36,419,9,52,89.66,35528,65.99,22.37,91.56,1354,8.92,351
Pakistan,North,2013,River,2.75,8.2,0.08,5.99,36.71,6.55,2654,Boiling,83.34,11,43,70,34.07,37530,54.5,40.96,71.59,2761,35.87,317
Brazil,North,2016,Pond,8.35,8.24,3.76,5.9,6.56,7.69,82,Filtration,34.18,247,27,89,63.96,32292,40.51,18.05,51.47,1288,0.13,426
Nigeria,West,2009,Pond,2.94,7.31,1.19,8.45,11.41,1.5,92,Filtration,50.91,228,20,6,91.77,7888,64.71,49.72,68.47,2026,8.74,86
Indonesia,South,2011,Tap,0.57,6.34,0.01,4.98,6.0,14.78,3156,Filtration,73.67,330,10,6,81.43,56197,55.01,85.79,34.31,1035,16.36,755
Ethiopia,North,2015,River,0.52,7.41,4.36,4.27,12.37,3.54,3048,Boiling,66.73,452,19,35,64.49,40724,27.26,37.11,22.34,527,8.85,616
Bangladesh,West,2013,Spring,4.27,7.57,2.22,7.08,39.91,16.1,1467,Filtration,44.54,178,35,12,70.95,47459,10.46,13.98,25.97,2675,38.94,277
Mexico,North,2015,Lake,9.32,8.14,1.19,7.31,6.63,16.92,2024,Filtration,62.31,340,18,66,92.25,26044,38.66,58.7,28.65,2581,9.76,361
China,East,2007,Pond,2.86,7.38,1.31,3.85,49.71,12.77,4869,None,37.61,159,9,19,81.59,41638,51.24,60.78,38.05,1521,14.49,55
Mexico,Central,2022,River,4.27,7.03,1.2,3.02,16.35,15.4,3817,None,67.99,220,14,72,61.77,23198,50.85,48.37,56.94,825,6.96,335
Indonesia,East,2009,Well,1.02,8.1,0.97,9.42,46.1,3.44,2698,None,36.79,326,44,52,66.55,68087,42.56,41.75,38.58,2644,37.07,468
Ethiopia,North,2016,Tap,4.94,8.45,4.21,3.56,9.5,11.52,791,Filtration,74.52,163,44,85,16.43,86851,32.74,81.41,66.8,733,16.45,391
